DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/03/2018,10:35,MANHATTAN,10027,40.815155,-73.95784,"(40.815155, -73.95784)",WEST 125 STREET                 ,OLD BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3878188,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/03/2018,10:40,,,,,,NARROWS ROAD SOUTH              ,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3876008,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2018,10:51,MANHATTAN,10035,40.801968,-73.94552,"(40.801968, -73.94552)",EAST 118 STREET                 ,5 AVENUE,,1,0,1,0,0,0,0,0,,,,,,3874700,,,,,
04/03/2018,10:58,BROOKLYN,11203,40.655422,-73.9229,"(40.655422, -73.9229)",REMSEN AVENUE                   ,EAST 58 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874405,PASSENGER VEHICLE,DP,,,
04/03/2018,11:00,BROOKLYN,11201,40.691532,-73.993744,"(40.691532, -73.993744)",CLINTON STREET                  ,SCHERMERHORN STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3874993,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:00,MANHATTAN,10038,40.712925,-73.99854,"(40.712925, -73.99854)",,,61        SAINT JAMES PLACE             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874932,PASSENGER VEHICLE,UTIL,,,
04/03/2018,11:02,,,40.844917,-73.926384,"(40.844917, -73.926384)",CROSS BRONX EXPY                ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,,,3878148,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
04/03/2018,11:03,BRONX,10465,40.818993,-73.82244,"(40.818993, -73.82244)",SAMPSON AVENUE                  ,BRINSMADE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874426,PASSENGER VEHICLE,,,,
04/03/2018,11:11,QUEENS,11421,40.69283,-73.85468,"(40.69283, -73.85468)",JAMAICA AVENUE                  ,90 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874717,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:11,,,,,,NORTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3874661,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
